Naziv,Grad,Država,Sport,Liga,Godina_osnutka,Stadion_dvorana,Kapacitet,Naslovi_prvaka
FC Barcelona,Barcelona,Španjolska,Nogomet,La Liga,1899,Spotify Camp Nou,99354,27
Paris Saint-Germain FC,Pariz,Francuska,Nogomet,Ligue 1,1970,Parc des Princes,47929,12
Chelsea FC,London,Engleska,Nogomet,Premier League,1905,Stamford Bridge,40341,6
Liverpool FC,Liverpool,Engleska,Nogomet,Premier League,1892,Anfield,54074,19
AC Milan,Milano,Italija,Nogomet,Serie A,1899,San Siro,80018,19
Real Madrid CF,Madrid,Španjolska,Nogomet,La Liga,1902,Santiago Bernabéu,81044,35
FC Bayern München,München,Njemačka,Nogomet,Bundesliga,1900,Allianz Arena,75000,33
Manchester United FC,Manchester,Engleska,Nogomet,Premier League,1878,Old Trafford,74879,20
Juventus FC,Torino,Italija,Nogomet,Serie A,1897,Allianz Stadium,41507,36
Manchester City FC,Manchester,Engleska,Nogomet,Premier League,1880,Etihad Stadium,53400,9
